City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ushuaia,AR,35.26,light intensity drizzle,-54.8,-68.3,Albatross Hotel
3,Punta Arenas,CL,33.91,few clouds,-53.15,-70.9167,Hotel Hain
4,Novaya Mayna,RU,60.22,clear sky,54.15,49.75,
5,Kiunga,PG,77.67,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
6,Cape Town,ZA,57.38,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
7,Ratlam,IN,76.84,overcast clouds,23.3167,75.0667,Hotel Sagar Castle
9,Port Hardy,CA,57.38,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
10,Tasiilaq,GL,42.96,scattered clouds,65.6145,-37.6368,The Red House
11,Rikitea,PF,72.57,scattered clouds,-23.1203,-134.9692,People ThankYou
12,Synya,RU,62.92,overcast clouds,65.3718,58.0387,
13,Provideniya,RU,60.91,clear sky,64.3833,-173.3,
14,Albany,US,75.61,clear sky,42.6001,-73.9662,
15,Puerto Ayora,EC,70.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
18,Newport,GB,68.77,overcast clouds,51.5877,-2.9984,ibis budget Newport
19,Lagoa,PT,73.99,overcast clouds,39.05,-27.9833,Casa Das Faias
20,Poum,NC,74.93,clear sky,-20.2333,164.0167,
22,Bluff,NZ,44.8,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
23,San Jeronimo,PE,52.47,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
24,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
25,Kautokeino,NO,49.84,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
26,Jalu,LY,78.51,clear sky,29.0331,21.5482,صاحبة الفخامة
27,Solna,SK,62.64,clear sky,49.2231,18.7394,Holiday Inn Žilina
28,Dikson,RU,43.79,overcast clouds,73.5069,80.5464,
30,Jumla,NP,65.3,overcast clouds,29.2747,82.1838,Royal Garden Hotel
31,Hobart,AU,58.26,light rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
32,Barrow,US,53.98,overcast clouds,71.2906,-156.7887,King Eider Inn
