,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,35.26,93,100,0.0,light intensity drizzle
1,Vaini,TO,-21.2,-175.2,80.76,89,75,12.66,broken clouds
2,Butaritari,KI,3.0707,172.7902,81.73,76,53,15.01,broken clouds
3,Punta Arenas,CL,-53.15,-70.9167,33.91,100,20,2.3,few clouds
4,Novaya Mayna,RU,54.15,49.75,60.22,91,0,5.66,clear sky
5,Kiunga,PG,-6.1219,141.2906,77.67,90,100,2.48,overcast clouds
6,Cape Town,ZA,-33.9258,18.4232,57.38,87,75,5.75,broken clouds
7,Ratlam,IN,23.3167,75.0667,76.84,85,100,7.94,overcast clouds
8,Taoudenni,ML,22.6783,-3.9836,99.36,9,81,6.55,broken clouds
9,Port Hardy,CA,50.6996,-127.4199,57.38,94,100,8.05,light rain
10,Tasiilaq,GL,65.6145,-37.6368,42.96,60,26,1.95,scattered clouds
11,Rikitea,PF,-23.1203,-134.9692,72.57,73,46,20.89,scattered clouds
12,Synya,RU,65.3718,58.0387,62.92,53,100,6.96,overcast clouds
13,Provideniya,RU,64.3833,-173.3,60.91,51,0,15.99,clear sky
14,Albany,US,42.6001,-73.9662,75.61,67,0,5.01,clear sky
15,Puerto Ayora,EC,-0.7393,-90.3518,70.56,87,24,8.01,few clouds
16,Avarua,CK,-21.2078,-159.775,77.05,53,100,10.36,overcast clouds
17,Saint George,US,37.1041,-113.5841,95.63,30,0,11.5,clear sky
18,Newport,GB,51.5877,-2.9984,68.77,92,98,16.17,overcast clouds
19,Lagoa,PT,39.05,-27.9833,73.99,86,96,16.28,overcast clouds
20,Poum,NC,-20.2333,164.0167,74.93,87,4,18.39,clear sky
21,Shimoda,JP,34.6667,138.95,93.11,66,45,13.53,scattered clouds
22,Bluff,NZ,-46.6,168.3333,44.8,74,39,26.33,scattered clouds
23,San Jeronimo,PE,-11.9472,-75.2829,52.47,69,98,1.63,overcast clouds
24,Padang,ID,-0.9492,100.3543,77.05,85,100,1.41,overcast clouds
25,Kautokeino,NO,69.0125,23.0412,49.84,96,90,5.28,overcast clouds
26,Jalu,LY,29.0331,21.5482,78.51,61,0,12.71,clear sky
27,Solna,SK,49.2231,18.7394,62.64,93,0,3.44,clear sky
28,Dikson,RU,73.5069,80.5464,43.79,88,100,14.45,overcast clouds
29,Henties Bay,NA,-22.116,14.2845,52.59,79,17,5.28,few clouds
30,Jumla,NP,29.2747,82.1838,65.3,90,97,1.43,overcast clouds
31,Hobart,AU,-42.8794,147.3294,58.26,65,75,17.27,light rain
32,Barrow,US,71.2906,-156.7887,53.98,53,99,8.57,overcast clouds
33,Port Elizabeth,ZA,-33.918,25.5701,61.32,65,0,5.75,clear sky
34,Gat,IL,31.61,34.7642,79.39,100,0,1.39,clear sky
35,New Norfolk,AU,-42.7826,147.0587,57.92,83,91,1.99,overcast clouds
36,Phalaborwa,ZA,-23.943,31.1411,60.08,79,0,2.21,clear sky
37,Busselton,AU,-33.65,115.3333,53.4,72,100,31.56,overcast clouds
38,Iranshahr,IR,27.2025,60.6848,89.17,53,39,7.78,scattered clouds
39,Xuanwu,CN,32.069,118.8138,91.35,61,12,6.87,few clouds
40,Hasaki,JP,35.7333,140.8333,100.29,73,100,6.85,overcast clouds
