City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-07-29 01:56:03,-46.6,168.3333,47.8,87,98,15.9
1,Sebastian,US,2022-07-29 01:56:03,35.1668,-94.2669,88.39,64,38,4.7
2,Puerto Ayora,EC,2022-07-29 01:56:04,-0.7393,-90.3518,69.55,94,58,4.0
3,Jaciara,BR,2022-07-29 01:56:04,-15.9653,-54.9683,70.68,33,67,2.89
4,Marondera,ZW,2022-07-29 01:56:05,-18.1853,31.5519,39.22,61,0,4.21
5,Victoria,HK,2022-07-29 01:54:18,22.2855,114.1577,93.96,67,99,5.99
6,Podgornoye,RU,2022-07-29 01:56:05,51.735,39.1496,64.62,94,0,6.71
7,Sorong,ID,2022-07-29 01:56:06,-0.8833,131.25,81.19,81,38,5.88
8,Port Alfred,ZA,2022-07-29 01:52:31,-33.5906,26.891,67.17,59,0,4.0
9,Obo,CF,2022-07-29 01:56:07,5.3998,26.4869,65.39,99,100,3.53
10,Yellowknife,CA,2022-07-29 01:56:07,62.456,-114.3525,68.52,40,75,9.22
11,Jiangyou,CN,2022-07-29 01:51:53,31.7667,104.7167,82.85,71,71,1.23
12,Akdepe,TM,2022-07-29 01:56:08,42.0551,59.3788,78.89,51,52,13.96
13,Dongsheng,CN,2022-07-29 01:56:08,39.8161,109.9776,78.46,37,24,18.92
14,Hermanus,ZA,2022-07-29 01:56:09,-34.4187,19.2345,59.81,76,100,21.97
15,High Level,CA,2022-07-29 01:56:09,58.5169,-117.136,75.31,64,75,13.8
16,Mataura,NZ,2022-07-29 01:56:10,-46.1927,168.8643,47.48,80,97,4.23
17,Arraial Do Cabo,BR,2022-07-29 01:56:10,-22.9661,-42.0278,70.81,87,16,24.49
18,Pierre,US,2022-07-29 01:56:10,44.3683,-100.351,76.86,50,0,5.01
19,Wao,PH,2022-07-29 01:56:11,7.6833,124.6833,75.72,75,99,3.62
20,Hobyo,SO,2022-07-29 01:52:33,5.3505,48.5268,75.34,87,81,20.96
21,Punta Arenas,CL,2022-07-29 01:55:42,-53.15,-70.9167,41.11,81,40,24.16
22,Albany,US,2022-07-29 01:56:12,42.6001,-73.9662,73.51,96,4,3.89
23,Nalut,LY,2022-07-29 01:56:12,30.3333,10.85,84.11,22,19,10.98
24,Cape Town,ZA,2022-07-29 01:55:32,-33.9258,18.4232,57.88,84,75,21.85
25,Saldanha,ZA,2022-07-29 01:56:13,-33.0117,17.9442,57.25,78,55,18.19
26,Busselton,AU,2022-07-29 01:56:13,-33.65,115.3333,60.24,59,93,19.17
27,Saint-Philippe,RE,2022-07-29 01:56:14,-21.3585,55.7679,66.22,82,37,7.67
28,Ushuaia,AR,2022-07-29 01:56:14,-54.8,-68.3,38.86,81,40,9.22
29,Jamestown,US,2022-07-29 01:56:15,42.097,-79.2353,73.18,45,81,1.01
30,Lebu,CL,2022-07-29 01:56:15,-37.6167,-73.65,47.84,87,7,18.5
31,Te Anau,NZ,2022-07-29 01:56:15,-45.4167,167.7167,44.64,85,87,4.27
32,Brownwood,US,2022-07-29 01:56:16,31.7093,-98.9912,96.12,38,99,12.62
33,Lashio,MM,2022-07-29 01:56:17,22.9333,97.75,76.75,81,75,1.32
34,Meulaboh,ID,2022-07-29 01:56:17,4.1363,96.1285,74.41,97,100,3.02
35,Avarua,CK,2022-07-29 01:56:18,-21.2078,-159.775,78.85,73,75,21.85
36,Vaini,TO,2022-07-29 01:56:18,-21.2,-175.2,80.76,89,40,10.36
37,Wajima,JP,2022-07-29 01:56:19,37.4,136.9,88.48,66,40,3.44
38,Samarinda,ID,2022-07-29 01:56:19,-0.5,117.15,84.38,71,53,4.5
39,Cristobal Obregon,MX,2022-07-29 01:56:20,16.35,-93.5333,70.12,97,94,2.28
40,Kyshtovka,RU,2022-07-29 01:56:20,56.555,76.6271,62.83,86,67,11.12
41,Mahajanga,MG,2022-07-29 01:56:21,-15.7167,46.3167,71.62,64,20,5.75
42,Umm Kaddadah,SD,2022-07-29 01:56:21,13.6017,26.6876,79.92,61,100,10.02
43,New Norfolk,AU,2022-07-29 01:56:22,-42.7826,147.0587,47.71,46,60,8.1
44,Nanning,CN,2022-07-29 01:56:22,22.8167,108.3167,82.85,62,100,2.89
45,Rikitea,PF,2022-07-29 01:57:22,-23.1203,-134.9692,73.26,75,6,21.16
46,Mar Del Plata,AR,2022-07-29 01:57:23,-38.0023,-57.5575,48.22,93,100,13.8
47,Banyo,CM,2022-07-29 01:57:23,6.75,11.8167,63.91,99,100,1.88
48,Isangel,VU,2022-07-29 01:57:24,-19.55,169.2667,76.78,82,100,12.55
49,Cabo San Lucas,MX,2022-07-29 01:57:17,22.8909,-109.9124,90.18,68,6,7.83
50,Tuyen Quang,VN,2022-07-29 01:57:24,21.8233,105.2181,84.78,75,100,0.25
51,Constitucion,CL,2022-07-29 01:55:56,-35.3333,-72.4167,48.81,79,0,9.22
52,Hasaki,JP,2022-07-29 01:57:25,35.7333,140.8333,93.29,75,5,14.94
53,Beian,NO,2022-07-29 01:57:26,63.6559,9.5683,57.0,82,0,10.36
54,Ahipara,NZ,2022-07-29 01:57:26,-35.1667,173.1667,59.92,64,69,9.04
55,Norman Wells,CA,2022-07-29 01:57:26,65.282,-126.8329,68.04,40,75,6.91
56,Egvekinot,RU,2022-07-29 01:57:27,66.3167,-179.1667,45.34,81,93,3.78
57,Katsuura,JP,2022-07-29 01:57:27,35.1333,140.3,84.63,76,30,10.92
58,Ibra,OM,2022-07-29 01:57:28,22.6906,58.5334,75.63,78,61,6.13
59,Hobart,AU,2022-07-29 01:57:29,-42.8794,147.3294,48.06,64,20,14.97
60,Coquimbo,CL,2022-07-29 01:57:29,-29.9533,-71.3436,53.33,93,0,2.3
61,Saint Anthony,US,2022-07-29 01:57:30,45.0205,-93.218,71.92,59,55,1.99
62,Port Blair,IN,2022-07-29 01:57:30,11.6667,92.75,83.07,76,30,4.81
63,Opportunity,US,2022-07-29 01:57:31,47.6499,-117.2399,101.88,27,3,1.99
64,Yenagoa,NG,2022-07-29 01:57:31,4.9247,6.2642,72.36,97,100,3.11
65,Beaverlodge,CA,2022-07-29 01:57:31,55.2166,-119.4361,92.55,50,0,8.28
66,Tuktoyaktuk,CA,2022-07-29 01:57:32,69.4541,-133.0374,44.6,87,100,14.97
67,Bethel,US,2022-07-29 01:52:37,41.3712,-73.414,79.48,93,100,4.79
